Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,56505,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,390,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,367656,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,345,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,58017,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,63,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13206,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,1002,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,495384,2014,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,204,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,57162,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,438,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,376689,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,354,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,60489,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,72,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13488,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,1065,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,507828,2015,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,207,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,56580,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,465,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,387369,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,369,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,60012,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,75,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13473,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,1116,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,517434,2016,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,210,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,55722,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,480,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,401475,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,369,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,60825,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,78,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13485,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,1134,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,531507,2017,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,201,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,52014,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,501,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,408654,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,381,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,62307,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,84,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13962,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,1170,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,536937,2018,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,Maori authority,Counts,207,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,51783,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,Maori authority,Counts,522,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,419694,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,396,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Non-residential property pperators,All New Zealand Businesses,Counts,61572,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,72,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,13686,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,Maori authority,Counts,1200,2019,1 and 2
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,546735,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1000,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,79600,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,6800,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1814100,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,180,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4650,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,70,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,36000,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,8100,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,1934300,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1050,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,80700,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,6500,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1827400,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,160,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4500,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,85,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,35900,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,7800,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,1948500,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1150,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,84500,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,6000,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1874600,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,160,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4900,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,1050,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,39200,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,8400,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2003200,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1150,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,85000,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,8200,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1925100,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,200,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4700,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,840,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,39100,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,10400,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2054000,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1200,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,85400,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,8700,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1974900,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,220,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4850,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,1150,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,40400,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,11200,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2105600,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1250,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,84100,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,9300,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,2038800,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,250,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,5200,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,910,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,38400,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,11700,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2166500,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1300,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,85500,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,9400,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,2107600,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,230,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,5100,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,1100,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,40800,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,12000,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2239000,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authority,Counts,1500,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,86700,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authority,Counts,9400,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,2150600,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authority,Counts,230,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,5300,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authority,Counts,1200,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,42400,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authority,Counts,12300,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2285000,2019,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,All New Zealand Businesses,Counts,11841,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,33,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Tourism,Counts,51,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,All New Zealand Businesses,Counts,5124,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,30,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Tourism,Counts,33,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,20934,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,51,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,All other industries,Maori Tourism,Counts,57,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,All New Zealand Businesses,Counts,3030,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,36,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Tourism,Counts,69,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,All New Zealand Businesses,Counts,17370,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,Maori Small to Medium Enterprises,Counts,36,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,All New Zealand Businesses,Counts,5193,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,Maori Small to Medium Enterprises,Counts,21,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,423,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,6,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,All New Zealand Businesses,Counts,2613,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,6,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,All New Zealand Businesses,Counts,7755,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,36,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,All New Zealand Businesses,Counts,1146,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,15,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,All New Zealand Businesses,Counts,11070,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,60,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,All New Zealand Businesses,Counts,246,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Mining,Maori Small to Medium Enterprises,Counts,0,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,All New Zealand Businesses,Counts,11781,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Other services,Maori Small to Medium Enterprises,Counts,27,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,14622,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,48,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,All New Zealand Businesses,Counts,582,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,3,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,5148,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,15,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,18,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,All New Zealand Businesses,Counts,13665,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Retail trade,Maori Small to Medium Enterprises,Counts,27,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Total,All New Zealand Businesses,Counts,145311,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Small to Medium Enterprises,Counts,492,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Total,Maori Tourism,Counts,249,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,4689,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,18,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,21,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,All New Zealand Businesses,Counts,8079,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,21,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,All New Zealand Businesses,Counts,12039,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,39,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Accommodation and food services,Maori Tourism,Counts,60,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,All New Zealand Businesses,Counts,5205,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,30,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Administrative and support services,Maori Tourism,Counts,30,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,20664,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,51,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,All other industries,Maori Tourism,Counts,60,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,All New Zealand Businesses,Counts,3036,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,39,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Arts and recreational services,Maori Tourism,Counts,72,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,All New Zealand Businesses,Counts,17841,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Construction,Maori Small to Medium Enterprises,Counts,42,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,All New Zealand Businesses,Counts,5244,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Education and training,Maori Small to Medium Enterprises,Counts,24,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,426,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,6,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,All New Zealand Businesses,Counts,2610,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,6,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,All New Zealand Businesses,Counts,7665,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,36,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,All New Zealand Businesses,Counts,1158,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By Industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,12,2013,1 and 2
